id,session,timestamp,dst_ip,dst_port
246,395965c5bffc,2022-11-19T05:54:58.268157Z,2a00:1450:400f:802::200e,80
247,395965c5bffc,2022-11-19T05:54:58.422664Z,74.6.143.26,80
248,395965c5bffc,2022-11-19T05:54:58.579435Z,2a00:1450:400f:802::200e,80
249,395965c5bffc,2022-11-19T05:54:58.734673Z,142.250.74.78,80
250,395965c5bffc,2022-11-19T05:54:58.890226Z,2001:4998:44:3507::8000,80
251,509a96f2ec53,2022-11-19T08:39:06.432202Z,142.250.74.78,80
252,509a96f2ec53,2022-11-19T08:39:06.591836Z,2a00:1450:400f:802::200e,80
253,509a96f2ec53,2022-11-19T08:39:06.751589Z,74.6.231.21,80
254,509a96f2ec53,2022-11-19T08:39:06.911848Z,2001:4998:24:120d::1:0,80
255,509a96f2ec53,2022-11-19T08:39:07.067685Z,74.6.143.25,80
256,509a96f2ec53,2022-11-19T08:39:07.228285Z,2001:4998:24:120d::1:0,80
257,4b5812ce4a5f,2022-11-19T08:54:04.236848Z,216.58.211.14,80
258,4b5812ce4a5f,2022-11-19T08:54:04.402197Z,2a00:1450:400f:80d::200e,80
259,4b5812ce4a5f,2022-11-19T08:54:04.570448Z,74.6.231.20,80
260,4b5812ce4a5f,2022-11-19T08:54:04.739056Z,2001:4998:44:3507::8000,80
261,4b5812ce4a5f,2022-11-19T08:54:04.907313Z,74.6.143.25,80
262,4b5812ce4a5f,2022-11-19T08:54:05.074880Z,2001:4998:24:120d::1:1,80
263,4d776004c357,2022-11-19T09:16:29.140140Z,142.250.74.78,80
264,4d776004c357,2022-11-19T09:16:29.294264Z,2a00:1450:400f:802::200e,80
265,4d776004c357,2022-11-19T09:16:29.451352Z,74.6.143.26,80
266,4d776004c357,2022-11-19T09:16:29.606526Z,2001:4998:44:3507::8001,80
267,4d776004c357,2022-11-19T09:16:29.758679Z,74.6.231.20,80
268,4d776004c357,2022-11-19T09:16:29.915187Z,2001:4998:124:1507::f001,80
269,570cb189e5b8,2022-11-19T09:47:57.639120Z,216.58.211.14,80
270,570cb189e5b8,2022-11-19T09:47:57.805874Z,2a00:1450:400f:80d::200e,80
271,570cb189e5b8,2022-11-19T09:47:57.970678Z,216.58.211.14,80
272,570cb189e5b8,2022-11-19T09:47:58.133936Z,2001:4998:124:1507::f001,80
273,570cb189e5b8,2022-11-19T09:47:58.298472Z,5.255.255.77,80
274,570cb189e5b8,2022-11-19T09:47:58.461847Z,2001:4998:24:120d::1:1,80
275,5e0ed7019d06,2022-11-19T11:44:06.564794Z,216.58.211.14,80
276,5e0ed7019d06,2022-11-19T11:44:06.729405Z,2a00:1450:400f:80d::200e,80
277,5e0ed7019d06,2022-11-19T11:44:06.893989Z,98.137.11.163,80
278,5e0ed7019d06,2022-11-19T11:44:07.062079Z,2001:4998:24:120d::1:1,80
279,5e0ed7019d06,2022-11-19T11:44:07.226491Z,98.137.11.163,80
280,5e0ed7019d06,2022-11-19T11:44:07.395566Z,2001:4998:24:120d::1:0,80
281,c50b89e9f402,2022-11-19T12:42:48.306612Z,142.250.74.78,80
282,c50b89e9f402,2022-11-19T12:42:48.468040Z,2a00:1450:400f:802::200e,80
283,c50b89e9f402,2022-11-19T12:42:48.623172Z,98.137.11.164,80
284,c50b89e9f402,2022-11-19T12:42:48.779499Z,2001:4998:24:120d::1:1,80
285,c50b89e9f402,2022-11-19T12:42:48.939606Z,142.250.74.78,80
286,c50b89e9f402,2022-11-19T12:42:49.095351Z,2001:4998:24:120d::1:0,80
287,0eaef04317ac,2022-11-19T14:09:39.318312Z,216.58.211.14,80
288,0eaef04317ac,2022-11-19T14:09:39.487543Z,2a00:1450:400f:80d::200e,80
289,0eaef04317ac,2022-11-19T14:09:39.654958Z,74.6.143.26,80
290,0eaef04317ac,2022-11-19T14:09:39.822971Z,2001:4998:124:1507::f000,80
291,0eaef04317ac,2022-11-19T14:09:39.991698Z,98.137.11.164,80
292,0eaef04317ac,2022-11-19T14:09:40.159888Z,2001:4998:44:3507::8000,80
293,1578413e60fe,2022-11-19T15:16:53.124302Z,142.250.74.78,80
294,1578413e60fe,2022-11-19T15:16:53.282065Z,2a00:1450:400f:802::200e,80
